,month,year,City,country_id,Country,Latitude,Longitude,AverageTemperatureCel,AverageTemperatureUncertaintyCel
0,6,1853,Auckland,NEW,New Zealand,36.17S,175.03E,11.059,2.754
1,7,1853,Auckland,NEW,New Zealand,36.17S,175.03E,11.326999999999998,1.416
2,8,1853,Auckland,NEW,New Zealand,36.17S,175.03E,11.585,0.8609999999999987
3,9,1853,Auckland,NEW,New Zealand,36.17S,175.03E,11.431999999999997,0.9099999999999989
4,10,1853,Auckland,NEW,New Zealand,36.17S,175.03E,12.707,1.1020000000000014
5,11,1853,Auckland,NEW,New Zealand,36.17S,175.03E,13.716000000000001,1.2510000000000017
6,12,1853,Auckland,NEW,New Zealand,36.17S,175.03E,15.469999999999999,3.0589999999999997
7,1,1854,Auckland,NEW,New Zealand,36.17S,175.03E,18.106,2.3499999999999983
8,2,1854,Auckland,NEW,New Zealand,36.17S,175.03E,18.540000000000003,2.0320000000000014
9,3,1854,Auckland,NEW,New Zealand,36.17S,175.03E,18.316,1.8869999999999996
10,4,1854,Auckland,NEW,New Zealand,36.17S,175.03E,15.514999999999999,1.7789999999999988
11,5,1854,Auckland,NEW,New Zealand,36.17S,175.03E,14.168999999999999,1.3950000000000016
12,6,1854,Auckland,NEW,New Zealand,36.17S,175.03E,12.51,1.553999999999998
13,7,1854,Auckland,NEW,New Zealand,36.17S,175.03E,11.773000000000001,1.6800000000000006
14,8,1854,Auckland,NEW,New Zealand,36.17S,175.03E,11.558,1.307999999999999
15,9,1854,Auckland,NEW,New Zealand,36.17S,175.03E,11.883999999999999,0.9349999999999999
16,10,1854,Auckland,NEW,New Zealand,36.17S,175.03E,12.640999999999998,3.006000000000001
17,11,1854,Auckland,NEW,New Zealand,36.17S,175.03E,14.065000000000001,1.6680000000000008
18,12,1854,Auckland,NEW,New Zealand,36.17S,175.03E,15.572000000000003,2.1799999999999997
19,1,1855,Auckland,NEW,New Zealand,36.17S,175.03E,17.421,2.2619999999999982
20,2,1855,Auckland,NEW,New Zealand,36.17S,175.03E,17.970000000000002,2.8500000000000014
21,3,1855,Auckland,NEW,New Zealand,36.17S,175.03E,17.588,1.2809999999999988
22,4,1855,Auckland,NEW,New Zealand,36.17S,175.03E,16.436,1.5329999999999997
23,5,1855,Auckland,NEW,New Zealand,36.17S,175.03E,14.446000000000002,1.2219999999999982
24,6,1855,Auckland,NEW,New Zealand,36.17S,175.03E,12.69,0.9759999999999991
25,7,1855,Auckland,NEW,New Zealand,36.17S,175.03E,11.753,0.8360000000000016
26,8,1855,Auckland,NEW,New Zealand,36.17S,175.03E,11.282999999999998,1.578999999999999
27,9,1855,Auckland,NEW,New Zealand,36.17S,175.03E,11.45,1.1689999999999994
28,10,1855,Auckland,NEW,New Zealand,36.17S,175.03E,14.114999999999998,1.2390000000000019
29,11,1855,Auckland,NEW,New Zealand,36.17S,175.03E,14.530999999999999,0.979
30,12,1855,Auckland,NEW,New Zealand,36.17S,175.03E,16.067,2.056999999999998
31,1,1856,Auckland,NEW,New Zealand,36.17S,175.03E,16.578999999999997,3.2870000000000013
32,2,1856,Auckland,NEW,New Zealand,36.17S,175.03E,16.685000000000002,3.270999999999999
33,3,1856,Auckland,NEW,New Zealand,36.17S,175.03E,16.737000000000002,2.173
34,4,1856,Auckland,NEW,New Zealand,36.17S,175.03E,15.445,2.3869999999999987
35,6,1856,Auckland,NEW,New Zealand,36.17S,175.03E,11.815999999999999,1.9919999999999998
36,7,1856,Auckland,NEW,New Zealand,36.17S,175.03E,10.517,2.5919999999999987
37,8,1856,Auckland,NEW,New Zealand,36.17S,175.03E,10.862000000000002,2.406000000000002
38,9,1856,Auckland,NEW,New Zealand,36.17S,175.03E,11.583000000000002,1.5560000000000014
39,10,1856,Auckland,NEW,New Zealand,36.17S,175.03E,12.171000000000001,3.260999999999999
40,11,1856,Auckland,NEW,New Zealand,36.17S,175.03E,13.103,3.1539999999999995
41,12,1856,Auckland,NEW,New Zealand,36.17S,175.03E,17.637,1.4560000000000015
42,1,1857,Auckland,NEW,New Zealand,36.17S,175.03E,17.535999999999998,2.203000000000001
43,2,1857,Auckland,NEW,New Zealand,36.17S,175.03E,17.287,3.308
44,3,1857,Auckland,NEW,New Zealand,36.17S,175.03E,16.747,2.342000000000001
45,4,1857,Auckland,NEW,New Zealand,36.17S,175.03E,14.756,2.08
46,5,1857,Auckland,NEW,New Zealand,36.17S,175.03E,12.113000000000003,2.955999999999999
47,6,1857,Auckland,NEW,New Zealand,36.17S,175.03E,11.641,1.2539999999999987
48,7,1857,Auckland,NEW,New Zealand,36.17S,175.03E,11.482,0.8389999999999986
49,8,1857,Auckland,NEW,New Zealand,36.17S,175.03E,11.297999999999998,0.8469999999999998
50,9,1857,Auckland,NEW,New Zealand,36.17S,175.03E,11.853,0.968000000000002
51,10,1857,Auckland,NEW,New Zealand,36.17S,175.03E,12.216,1.5700000000000003
52,11,1857,Auckland,NEW,New Zealand,36.17S,175.03E,13.589,2.574999999999999
53,12,1857,Auckland,NEW,New Zealand,36.17S,175.03E,15.313,3.675999999999999
54,1,1858,Auckland,NEW,New Zealand,36.17S,175.03E,16.138999999999996,4.724
55,2,1858,Auckland,NEW,New Zealand,36.17S,175.03E,17.412,2.1579999999999995
56,3,1858,Auckland,NEW,New Zealand,36.17S,175.03E,17.114,2.6980000000000004
57,4,1858,Auckland,NEW,New Zealand,36.17S,175.03E,14.207,3.973999999999999
58,5,1858,Auckland,NEW,New Zealand,36.17S,175.03E,12.802,3.889
59,6,1858,Auckland,NEW,New Zealand,36.17S,175.03E,11.892,1.3979999999999986
60,7,1858,Auckland,NEW,New Zealand,36.17S,175.03E,10.578,2.085
61,8,1858,Auckland,NEW,New Zealand,36.17S,175.03E,11.343,1.0670000000000002
62,9,1858,Auckland,NEW,New Zealand,36.17S,175.03E,11.966000000000001,0.9310000000000014
63,10,1858,Auckland,NEW,New Zealand,36.17S,175.03E,12.556,1.7780000000000011
64,11,1858,Auckland,NEW,New Zealand,36.17S,175.03E,14.029999999999998,2.5599999999999983
65,12,1858,Auckland,NEW,New Zealand,36.17S,175.03E,16.820000000000004,1.4369999999999985
66,1,1859,Auckland,NEW,New Zealand,36.17S,175.03E,18.104,1.1439999999999984
67,2,1859,Auckland,NEW,New Zealand,36.17S,175.03E,18.598,1.029000000000002
68,3,1859,Auckland,NEW,New Zealand,36.17S,175.03E,17.266000000000002,2.0730000000000004
69,4,1859,Auckland,NEW,New Zealand,36.17S,175.03E,16.119999999999997,1.5419999999999985
70,5,1859,Auckland,NEW,New Zealand,36.17S,175.03E,14.114999999999998,1.5970000000000004
71,7,1859,Auckland,NEW,New Zealand,36.17S,175.03E,11.502,0.7180000000000004
72,8,1859,Auckland,NEW,New Zealand,36.17S,175.03E,11.05,1.3049999999999982
73,9,1859,Auckland,NEW,New Zealand,36.17S,175.03E,11.289,0.838000000000001
74,10,1859,Auckland,NEW,New Zealand,36.17S,175.03E,14.064,1.1240000000000014
75,11,1859,Auckland,NEW,New Zealand,36.17S,175.03E,14.774999999999999,1.7440000000000013
76,12,1859,Auckland,NEW,New Zealand,36.17S,175.03E,16.342,1.8340000000000007
77,1,1860,Auckland,NEW,New Zealand,36.17S,175.03E,18.465999999999998,2.4180000000000015
78,2,1860,Auckland,NEW,New Zealand,36.17S,175.03E,18.78,1.7930000000000017
79,3,1860,Auckland,NEW,New Zealand,36.17S,175.03E,17.616,1.8649999999999995
80,4,1860,Auckland,NEW,New Zealand,36.17S,175.03E,16.724999999999998,1.1850000000000014
81,5,1860,Auckland,NEW,New Zealand,36.17S,175.03E,14.617999999999999,0.7700000000000016
82,6,1860,Auckland,NEW,New Zealand,36.17S,175.03E,12.964,1.5800000000000007
83,7,1860,Auckland,NEW,New Zealand,36.17S,175.03E,11.446000000000002,0.8970000000000016
84,8,1860,Auckland,NEW,New Zealand,36.17S,175.03E,10.816,1.8020000000000005
85,9,1860,Auckland,NEW,New Zealand,36.17S,175.03E,11.656,1.009999999999999
86,10,1860,Auckland,NEW,New Zealand,36.17S,175.03E,13.218999999999998,0.7239999999999982
87,11,1860,Auckland,NEW,New Zealand,36.17S,175.03E,15.604000000000001,1.9719999999999989
88,12,1860,Auckland,NEW,New Zealand,36.17S,175.03E,18.312999999999995,4.635999999999999
89,1,1861,Auckland,NEW,New Zealand,36.17S,175.03E,17.762999999999998,2.5620000000000016
90,2,1861,Auckland,NEW,New Zealand,36.17S,175.03E,20.547,3.335
91,3,1861,Auckland,NEW,New Zealand,36.17S,175.03E,18.671,1.5430000000000001
92,4,1861,Auckland,NEW,New Zealand,36.17S,175.03E,17.254,2.320999999999999
93,5,1861,Auckland,NEW,New Zealand,36.17S,175.03E,15.738999999999997,2.4000000000000004
94,6,1861,Auckland,NEW,New Zealand,36.17S,175.03E,14.299,2.449999999999998
95,7,1861,Auckland,NEW,New Zealand,36.17S,175.03E,12.562000000000003,1.3009999999999995
96,8,1861,Auckland,NEW,New Zealand,36.17S,175.03E,11.309000000000001,0.7849999999999981
97,9,1861,Auckland,NEW,New Zealand,36.17S,175.03E,12.937,1.3020000000000012
98,10,1861,Auckland,NEW,New Zealand,36.17S,175.03E,14.653,2.3490000000000006
99,11,1861,Auckland,NEW,New Zealand,36.17S,175.03E,15.922,1.8730000000000007
100,2,1862,Auckland,NEW,New Zealand,36.17S,175.03E,20.241999999999997,3.3060000000000005
